equipment_id,test_id,test_name,start,end
setup_sofia_6,mwcu_b10_3_Leak_seq16,Leak,2028-05-29T00:00:00,2028-06-01T00:00:00
setup_sofia_6,mwcu_b10_2.2_P-04_seq21,P-04,2028-06-28T00:00:00,2028-07-14T00:00:00
setup_sofia_6,mwcu_a7_7_K-02_seq13,K-02,2028-08-15T00:00:00,2028-08-31T00:00:00
setup_sofia_7,mwcu_b10_3_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_7,mwcu_b10_6_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_7,mwcu_a7_3_K-02_seq3,K-02,2027-01-18T00:00:00,2027-02-03T00:00:00
setup_sofia_7,mwcu_a7_5_K-01_seq4,K-01,2027-02-04T00:00:00,2027-02-08T00:00:00
setup_sofia_7,mwcu_a7_2.2_K-02_seq5,K-02,2027-02-28T00:00:00,2027-03-16T00:00:00
setup_sofia_7,mwcu_b10_2.1_K-05_seq6,K-05,2027-03-31T00:00:00,2027-05-12T00:00:00
setup_sofia_7,mwcu_b10_2.1_P-03-L_seq7,P-03-L,2027-05-31T00:00:00,2027-07-03T00:00:00
setup_sofia_7,mwcu_a7_2.2_P-03-L_seq12,P-03-L,2027-07-15T00:00:00,2027-08-17T00:00:00
setup_sofia_7,mwcu_b10_5_Leak_seq10,Leak,2027-08-27T00:00:00,2027-08-30T00:00:00
setup_sofia_7,mwcu_b10_2.1_K-09_seq10,K-09,2027-09-06T00:00:00,2027-09-27T00:00:00
setup_sofia_7,mwcu_a7_2.2_K-03_seq13,K-03,2027-10-09T00:00:00,2027-10-13T00:00:00
setup_sofia_7,mwcu_a7_2.2_P-02_seq14,P-02,2027-10-13T00:00:00,2027-10-19T00:00:00
setup_sofia_7,mwcu_b10_3_P-02_seq8,P-02,2027-10-28T00:00:00,2027-11-03T00:00:00
setup_sofia_7,mwcu_b10_3_L-03_seq9,L-03,2027-11-03T00:00:00,2027-12-25T00:00:00
setup_sofia_7,mwcu_a7_2.2_P-03-E_seq18,P-03-E,2028-01-10T00:00:00,2028-02-12T00:00:00
setup_sofia_7,mwcu_a7_5b_P-04_seq2,P-04,2028-02-12T00:00:00,2028-02-28T00:00:00
setup_sofia_7,mwcu_a7_2.2_P-04_seq21,P-04,2028-03-02T00:00:00,2028-03-18T00:00:00
setup_sofia_7,mwcu_b10_3_K-02_seq14,K-02,2028-04-10T00:00:00,2028-04-26T00:00:00
setup_sofia_7,mwcu_a7_3_P-03-E_seq15,P-03-E,2028-04-26T00:00:00,2028-05-29T00:00:00
setup_sofia_7,mwcu_a7_2.1_Leak_seq30,Leak,2028-06-01T00:00:00,2028-06-04T00:00:00
setup_sofia_7,mwcu_b10_2.1_P-03-E_seq29,P-03-E,2028-06-13T00:00:00,2028-07-16T00:00:00
setup_sofia_8,mwcu_b10_2.1_Leak_seq1,Leak,2027-01-11T00:00:00,2027-01-14T00:00:00
setup_sofia_8,mwcu_b10_2.2_K-01_seq2,K-01,2027-01-14T00:00:00,2027-01-18T00:00:00
setup_sofia_8,mwcu_b10_2.1_K-04_seq3,K-04,2027-01-18T00:00:00,2027-01-26T00:00:00
setup_sofia_8,mwcu_a7_2.2_P-03_seq4,P-03,2027-01-26T00:00:00,2027-02-28T00:00:00
setup_sofia_8,mwcu_a7_4_P-03_seq3,P-03,2027-03-01T00:00:00,2027-04-03T00:00:00
setup_sofia_8,mwcu_a7_4_VDA_seq4,VDA,2027-04-03T00:00:00,2027-04-12T00:00:00
setup_sofia_8,mwcu_a7_4_Leak_seq5,Leak,2027-04-12T00:00:00,2027-04-20T00:00:00
setup_sofia_8,mwcu_b10_4_Leak_seq5,Leak,2027-04-28T00:00:00,2027-05-06T00:00:00
setup_sofia_8,mwcu_a7_2.1_P-03-L_seq7,P-03-L,2027-05-06T00:00:00,2027-06-08T00:00:00
setup_sofia_8,mwcu_b10_4_P-04_seq7,P-04,2027-06-08T00:00:00,2027-06-24T00:00:00
setup_sofia_8,mwcu_b10_5_M-07_seq7,M-07,2027-06-24T00:00:00,2027-07-27T00:00:00
setup_sofia_8,mwcu_b10_5_P-02_seq8,P-02,2027-07-27T00:00:00,2027-08-02T00:00:00
setup_sofia_8,mwcu_a7_2.1_P-03-L_seq12,P-03-L,2027-09-06T00:00:00,2027-10-09T00:00:00
setup_sofia_8,mwcu_a7_5_M-07_seq7,M-07,2027-10-09T00:00:00,2027-11-11T00:00:00
setup_sofia_8,mwcu_a7_5_P-02_seq8,P-02,2027-11-11T00:00:00,2027-11-17T00:00:00
