fte_id,test_id,test_name,start,end
fte_sofia_4,dcc_21a_3_Leak_seq1,Leak,2026-11-04T00:00:00,2026-11-07T00:00:00
fte_sofia_4,mwcu_b10_3_K-01_seq2,K-01,2026-11-07T00:00:00,2026-11-10T00:00:00
fte_sofia_4,dcc_21a_3_K-01_seq2,K-01,2026-11-10T00:00:00,2026-11-13T00:00:00
fte_sofia_4,mwcu_a7_3_K-01_seq2,K-01,2026-11-13T00:00:00,2026-11-16T00:00:00
fte_sofia_4,mwcu_a7_3_K-02_seq3,K-02,2026-11-16T00:00:00,2026-11-30T00:00:00
fte_sofia_4,dcc_21a_4_Leak_seq1,Leak,2026-11-30T00:00:00,2026-12-03T00:00:00
fte_sofia_4,dcc_21a_4_K-01_seq2,K-01,2026-12-03T00:00:00,2026-12-06T00:00:00
fte_sofia_4,mwcu_a7_4_K-01_seq2,K-01,2026-12-06T00:00:00,2026-12-09T00:00:00
fte_sofia_4,mwcu_a7_3_P-03_seq4,P-03,2027-01-11T00:00:00,2027-02-08T00:00:00
fte_sofia_4,dcc_21a_3_P-03_seq4,P-03,2027-02-08T00:00:00,2027-03-08T00:00:00
fte_sofia_4,mwcu_a7_3_L-03_seq5,L-03,2027-03-08T00:00:00,2027-04-02T00:00:00
fte_sofia_4,mwcu_b10_3_L-03_seq5,L-03,2027-04-02T00:00:00,2027-04-27T00:00:00
fte_sofia_4,dcc_21a_3_L-03_seq5,L-03,2027-04-27T00:00:00,2027-05-22T00:00:00
fte_sofia_4,mwcu_a7_3_P-02_seq6,P-02,2027-05-22T00:00:00,2027-05-27T00:00:00
fte_sofia_4,dcc_21a_3_P-02_seq6,P-02,2027-05-27T00:00:00,2027-06-01T00:00:00
fte_sofia_4,mwcu_b10_3_P-02_seq6,P-02,2027-06-01T00:00:00,2027-06-06T00:00:00
fte_sofia_4,dcc_21a_3_L-03_seq7,L-03,2027-06-06T00:00:00,2027-07-01T00:00:00
fte_sofia_4,dcc_21a_2_M-04_seq17,M-04,2027-07-01T00:00:00,2027-07-15T00:00:00
fte_sofia_4,mwcu_a7_3_L-03_seq7,L-03,2027-07-15T00:00:00,2027-08-09T00:00:00
fte_sofia_4,dcc_21a_5_P-03_seq3,P-03,2027-09-06T00:00:00,2027-10-04T00:00:00
fte_sofia_4,mwcu_a7_3_P-02_seq8,P-02,2027-10-04T00:00:00,2027-10-09T00:00:00
fte_sofia_4,mwcu_a7_3_L-03_seq9,L-03,2027-10-09T00:00:00,2027-11-03T00:00:00
fte_sofia_4,dcc_21a_2a_HV S_seq2,HV S,2027-11-03T00:00:00,2027-11-17T00:00:00
fte_sofia_4,mwcu_b10_2a_HV S_seq2,HV S,2027-11-17T00:00:00,2027-12-01T00:00:00
fte_sofia_4,mwcu_b10_2a_M-03_seq3,M-03,2027-12-01T00:00:00,2027-12-15T00:00:00
fte_sofia_4,dcc_21a_2a_P-02-L_seq4,P-02-L,2027-12-15T00:00:00,2027-12-20T00:00:00
fte_sofia_4,dcc_21a_2b_P-03-E_seq1,P-03-E,2028-01-10T00:00:00,2028-02-07T00:00:00
fte_sofia_4,dcc_21a_3_L-03_seq11,L-03,2028-02-07T00:00:00,2028-03-03T00:00:00
fte_sofia_4,mwcu_a7_3_L-03_seq11,L-03,2028-03-03T00:00:00,2028-03-28T00:00:00
fte_sofia_4,mwcu_b10_2a_K-11_seq7,K-11,2028-03-28T00:00:00,2028-04-02T00:00:00
fte_sofia_4,mwcu_a7_3_P-02_seq12,P-02,2028-04-02T00:00:00,2028-04-07T00:00:00
fte_sofia_4,dcc_21a_3_P-02_seq12,P-02,2028-04-07T00:00:00,2028-04-12T00:00:00
fte_sofia_4,mwcu_b10_2a_P-02-L_seq8,P-02-L,2028-04-12T00:00:00,2028-04-17T00:00:00
fte_sofia_4,mwcu_a7_3_P-03_seq13,P-03,2028-04-17T00:00:00,2028-05-15T00:00:00
fte_sofia_4,mwcu_b10_2a_K-12_seq9,K-12,2028-05-15T00:00:00,2028-06-05T00:00:00
fte_sofia_4,dcc_21a_2a_P-02-L_seq6,P-02-L,2028-06-05T00:00:00,2028-06-10T00:00:00
fte_sofia_4,dcc_21a_2a_K-11_seq7,K-11,2028-06-10T00:00:00,2028-06-15T00:00:00
fte_sofia_4,dcc_21a_2a_P-02-L_seq8,P-02-L,2028-06-15T00:00:00,2028-06-20T00:00:00
fte_sofia_4,dcc_21a_2a_K-12_seq9,K-12,2028-06-20T00:00:00,2028-07-11T00:00:00
fte_sofia_4,dcc_21a_2a_P-02-L_seq10,P-02-L,2028-07-11T00:00:00,2028-07-16T00:00:00
fte_sofia_4,mwcu_a7_3_K-02_seq14,K-02,2028-07-16T00:00:00,2028-07-30T00:00:00
fte_sofia_4,mwcu_a7_4_Leakage_seq5,Leakage,2028-07-30T00:00:00,2028-08-06T00:00:00
fte_sofia_4,mwcu_b10_2b_P-03-E_seq1,P-03-E,2028-09-04T00:00:00,2028-10-02T00:00:00
fte_sofia_4,mwcu_b10_2b_HV S_seq2,HV S,2028-10-02T00:00:00,2028-10-16T00:00:00
fte_sofia_4,dcc_21a_5_P-03-E_seq11,P-03-E,2028-10-16T00:00:00,2028-11-13T00:00:00
fte_sofia_4,dcc_21a_2a_Leak_seq13,Leak,2028-11-13T00:00:00,2028-11-16T00:00:00
fte_sofia_4,dcc_21a_2a_P-04_seq14,P-04,2028-11-16T00:00:00,2028-11-30T00:00:00
fte_sofia_4,mwcu_b10_3_P-04_seq17,P-04,2028-11-30T00:00:00,2028-12-14T00:00:00
fte_sofia_4,mwcu_a7_3_Leak_seq16,Leak,2028-12-14T00:00:00,2028-12-17T00:00:00
fte_sofia_4,dcc_21a_5_P-04_seq12,P-04,2029-01-01T00:00:00,2029-01-15T00:00:00
fte_sofia_4,mwcu_a7_3_P-04_seq17,P-04,2029-01-15T00:00:00,2029-01-29T00:00:00
fte_sofia_4,dcc_21a_3_P-04_seq17,P-04,2029-01-29T00:00:00,2029-02-12T00:00:00
fte_sofia_4,dcc_21a_4_P-04_seq7,P-04,2029-02-12T00:00:00,2029-02-26T00:00:00
